                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    127,                0.62747,                 0.3804,                0.93627,                0.95431,                0.94952,                0.98648,                0.88613,                0.49355,                0.40122,                0.89382,              0.0007625,              0.0007625,              0.0007625
                    128,                0.58093,                0.35326,                0.92709,                0.94119,                0.98485,                0.99066,                0.91275,                0.44511,                0.29134,                0.86334,              0.0007526,              0.0007526,              0.0007526
                    129,                0.60246,                0.35949,                0.93293,                0.95366,                 0.9697,                0.98092,                0.88242,                0.48042,                0.31366,                0.88586,              0.0007427,              0.0007427,              0.0007427
                    130,                0.60737,                0.36954,                0.92641,                0.95305,                 0.9697,                0.97262,                0.87873,                0.47051,                0.34345,                0.87452,              0.0007328,              0.0007328,              0.0007328
                    131,                0.60051,                0.36557,                0.93434,                 0.9787,                0.93939,                0.97957,                0.89151,                0.45279,                0.35698,                0.87046,              0.0007229,              0.0007229,              0.0007229
                    132,                0.59479,                 0.3466,                0.92417,                0.99849,                0.95455,                0.98606,                0.91331,                0.45392,                0.31861,                0.87154,               0.000713,               0.000713,               0.000713
                    133,                0.59855,                0.35722,                0.91895,                0.99417,                0.95455,                0.98994,                0.89735,                0.46918,                0.31443,                0.87985,              0.0007031,              0.0007031,              0.0007031
                    134,                0.57442,                0.35356,                0.91926,                0.92369,                 0.9697,                0.98538,                0.89475,                0.44464,                0.37387,                 0.8695,              0.0006932,              0.0006932,              0.0006932
                    135,                0.57313,                0.35367,                0.91813,                0.94492,                0.93939,                0.98473,                0.88306,                0.50362,                0.41115,                0.92173,              0.0006833,              0.0006833,              0.0006833
                    136,                0.59245,                0.35779,                0.91627,                0.95415,                0.94598,                0.98263,                0.88529,                0.49274,                0.36913,                0.90368,              0.0006734,              0.0006734,              0.0006734
                    137,                0.57027,                0.34114,                0.92164,                0.97122,                0.95455,                0.97177,                0.88762,                0.47967,                0.38283,                0.89524,              0.0006635,              0.0006635,              0.0006635
                    138,                0.58793,                0.35078,                0.91529,                0.94967,                0.95455,                0.97879,                0.88044,                0.48443,                0.38713,                0.90262,              0.0006536,              0.0006536,              0.0006536
                    139,                 0.5773,                0.34739,                0.92088,                 0.9255,                 0.9697,                0.98078,                0.87665,                0.45138,                0.33893,                0.87265,              0.0006437,              0.0006437,              0.0006437
                    140,                0.59028,                0.34793,                0.91941,                0.96903,                0.94808,                0.98411,                0.89409,                0.47164,                0.31409,                0.87922,              0.0006338,              0.0006338,              0.0006338
                    141,                 0.5687,                0.34754,                0.91189,                0.95313,                0.95455,                0.98304,                0.90964,                0.44198,                0.37945,                0.86423,              0.0006239,              0.0006239,              0.0006239
                    142,                0.55872,                0.33444,                0.91051,                0.97469,                0.95455,                 0.9771,                0.89294,                0.45682,                0.39874,                0.86754,               0.000614,               0.000614,               0.000614
                    143,                0.56518,                0.33993,                0.91156,                0.96285,                0.95455,                0.98322,                0.89961,                0.44473,                0.32645,                0.86441,              0.0006041,              0.0006041,              0.0006041
                    144,                0.54866,                0.33585,                0.91753,                0.95432,                0.94976,                0.96679,                0.88844,                0.45548,                0.36253,                0.88157,              0.0005942,              0.0005942,              0.0005942
                    145,                 0.5493,                0.33709,                 0.9135,                0.94027,                0.95407,                0.97503,                0.89704,                0.51926,                0.37017,                0.92167,              0.0005843,              0.0005843,              0.0005843
                    146,                0.56903,                0.33935,                0.92273,                0.93996,                 0.9697,                0.98205,                0.90384,                0.47285,                0.37062,                0.87236,              0.0005744,              0.0005744,              0.0005744
                    147,                0.56485,                 0.3351,                0.92229,                0.96041,                0.92424,                0.96831,                0.87832,                0.45786,                  0.357,                0.86888,              0.0005645,              0.0005645,              0.0005645
                    148,                0.55867,                0.34018,                0.90655,                 0.9395,                0.95455,                0.97012,                0.90164,                 0.4371,                0.36712,                0.85725,              0.0005546,              0.0005546,              0.0005546
                    149,                0.54278,                0.33395,                0.90665,                0.94041,                 0.9697,                0.96766,                   0.88,                 0.4956,                0.43586,                0.90459,              0.0005447,              0.0005447,              0.0005447
                    150,                0.57027,                0.34033,                0.91283,                0.94097,                0.96614,                0.97606,                0.90581,                0.53022,                 0.3313,                0.98319,              0.0005348,              0.0005348,              0.0005348
                    151,                0.54276,                  0.324,                 0.9077,                0.92839,                0.98219,                 0.9729,                0.89963,                0.44824,                0.36004,                0.86277,              0.0005249,              0.0005249,              0.0005249
                    152,                0.54155,                0.32734,                0.89718,                0.94075,                 0.9697,                 0.9758,                0.89883,                0.44129,                0.35096,                0.86999,               0.000515,               0.000515,               0.000515
                    153,                0.53938,                0.33163,                0.90148,                0.96091,                0.95455,                0.97864,                0.90241,                0.43013,                0.36439,                0.86479,              0.0005051,              0.0005051,              0.0005051
                    154,                0.53811,                0.32426,                0.90337,                0.96199,                0.95455,                0.97839,                0.89156,                0.43421,                0.35507,                0.86316,              0.0004952,              0.0004952,              0.0004952
                    155,                0.52766,                0.31399,                0.90094,                0.95961,                 0.9697,                0.98494,                0.91966,                0.44688,                0.31042,                0.86037,              0.0004853,              0.0004853,              0.0004853
